db_id,tier,hinglish_input,golden_sql,generated_sql,execution_match,status
cre_Docs_and_Epenses,hinglish_light,"What are the statement ids, statement details, aur account details, har account ke liye?","SELECT T1.statement_id ,  T2.statement_details ,  T1.account_details FROM Accounts AS T1 JOIN Statements AS T2 ON T1.statement_id  =  T2.statement_id","SELECT Statement_ID, Statement_Details, Account_Details FROM Accounts WHERE Account_ID IN (SELECT Account_ID FROM Documents_with_Expenses)",False,no such column: Statement_Details
cre_Docs_and_Epenses,hinglish_natural,"Statement ids kya hain, statement details kya hain aur account details kya hain, sabhi accounts ke liye?","SELECT T1.statement_id ,  T2.statement_details ,  T1.account_details FROM Accounts AS T1 JOIN Statements AS T2 ON T1.statement_id  =  T2.statement_id","SELECT Statement_ID, Statement_Details, Account_Details FROM Accounts",False,no such column: Statement_Details
cre_Docs_and_Epenses,hinglish_hindi_heavy,"Kya statement ids hain, statement details hain aur account details hain, har account ke liye?","SELECT T1.statement_id ,  T2.statement_details ,  T1.account_details FROM Accounts AS T1 JOIN Statements AS T2 ON T1.statement_id  =  T2.statement_id","SELECT Statement_ID, Statement_Details, Account_Details FROM Statements",False,no such column: Account_Details
driving_school,hinglish_light,What are the email addresses aur doobaros ko dates jo sabhi customers ke liye hain jinhe first name Carole hota hai?,"SELECT email_address ,  date_of_birth FROM Customers WHERE first_name = ""Carole",SELECT DISTINCT T1.email_address FROM Customers AS T1 INNER JOIN Staff AS T2 ON T1.customer_address_id = T2.staff_address_id WHERE T2.first_name = 'Carole',False,SUCCESS
driving_school,hinglish_natural,Kya sabhi first name Carole ke customers ki email addresses aur doobaros milenge?,"SELECT email_address ,  date_of_birth FROM Customers WHERE first_name = ""Carole",SELECT T1.email_address FROM Customers AS T1 INNER JOIN Lessons AS T2 ON T1.customer_id = T2.customer_id WHERE T2.staff_id IN (SELECT staff_id FROM Staff WHERE first_name = 'Carole') ORDER BY T2.lesson_date DESC LIMIT 2,False,SUCCESS
driving_school,hinglish_hindi_heavy,Kyā sabhi first name Carole hain unke email addresses aur doobaros kya hain?,"SELECT email_address ,  date_of_birth FROM Customers WHERE first_name = ""Carole","SELECT T1.first_name, T1.email_address FROM Customers AS T1 INNER JOIN Addresses AS T2 ON T1.customer_address_id = T2.address_id WHERE T1.first_name = 'Carole'",False,SUCCESS
course_teach,hinglish_light,What are the names of the teachers jaise 32 ya 33 saal ka hain?,SELECT Name FROM teacher WHERE Age  =  32 OR Age  =  33,SELECT T1.Name FROM teacher AS T1 INNER JOIN course_arrange AS T2 ON T1.Teacher_ID = T2.Teacher_ID WHERE T2.Grade BETWEEN 32 AND 33,False,SUCCESS
course_teach,hinglish_natural,"Kya teachers hain jo 32 ya 33 saal ki hain, unki names kya hain?",SELECT Name FROM teacher WHERE Age  =  32 OR Age  =  33,"SELECT T1.Name FROM teacher AS T1 INNER JOIN course_arrange AS T2 ON T1.Teacher_ID = T2.Teacher_ID WHERE T2.Grade IN (32, 33)",False,SUCCESS
course_teach,hinglish_hindi_heavy,Kyi teachers ki names kya hain jo 32 ya 33 saal ki hain?,SELECT Name FROM teacher WHERE Age  =  32 OR Age  =  33,SELECT Name FROM teacher WHERE Age BETWEEN 32 AND 33,True,CLEAN
game_1,hinglish_light,How many video games have type Massively multiplayer online game?,"SELECT count(*) FROM Video_games WHERE gtype  =  ""Massively multiplayer online game",SELECT COUNT(*) FROM Video_games WHERE GType = 'Massively multiplayer online game',False,SUCCESS
game_1,hinglish_natural,Kya kitne video game type Massively multiplayer online game hain?,"SELECT count(*) FROM Video_games WHERE gtype  =  ""Massively multiplayer online game",SELECT COUNT(*) FROM Video_games WHERE GType = 'Massively multiplayer online game',False,SUCCESS
game_1,hinglish_hindi_heavy,Kyun kisi video game ki type Massively multiplayer online game hai?,"SELECT count(*) FROM Video_games WHERE gtype  =  ""Massively multiplayer online game",SELECT DISTINCT T2.GType FROM Plays_games AS T1 INNER JOIN Video_games AS T2 ON T1.GameID = T2.GameID WHERE T2.GType LIKE 'Massively multiplayer online game',False,SUCCESS
college_1,hinglish_light,What are the first names of all professors nahi kisi bhi class mein raho?,SELECT emp_fname FROM employee WHERE emp_jobcode  =  'PROF' EXCEPT SELECT T1.emp_fname FROM employee AS T1 JOIN CLASS AS T2 ON T1.emp_num  =  T2.prof_num,SELECT T1.emp_fname FROM professor AS T1 JOIN class AS T2 ON T1.emp_num = T2.prof_num WHERE T2.class_code NOT IN (SELECT class_code FROM enroll),False,no such column: T1.emp_fname
college_1,hinglish_natural,Kya sabhi nahi kisi class mein raho professor ki first names hain?,SELECT emp_fname FROM employee WHERE emp_jobcode  =  'PROF' EXCEPT SELECT T1.emp_fname FROM employee AS T1 JOIN CLASS AS T2 ON T1.emp_num  =  T2.prof_num,SELECT DISTINCT T1.emp_fname FROM employee AS T1 JOIN professor AS T2 ON T1.emp_num = T2.emp_num WHERE T1.emp_fname NOT IN (SELECT emp_fname FROM professor),False,SUCCESS
college_1,hinglish_hindi_heavy,Kyi sabhi nahi kisi class mein raho professor ki first names kya hain?,SELECT emp_fname FROM employee WHERE emp_jobcode  =  'PROF' EXCEPT SELECT T1.emp_fname FROM employee AS T1 JOIN CLASS AS T2 ON T1.emp_num  =  T2.prof_num,SELECT DISTINCT T1.emp_fname FROM employee AS T1 INNER JOIN professor AS T2 ON T1.emp_num = T2.emp_num WHERE T2.prof_first_name IS NOT NULL,False,no such column: T2.prof_first_name
university_basketball,hinglish_light,Return the average enrollment of universities founded before 1850.,SELECT avg(enrollment) FROM university WHERE founded  <  1850,SELECT AVG(Enrollment) FROM university WHERE Founded < 1850,True,CLEAN
university_basketball,hinglish_natural,1850 se pehle found kiye gaye universities ka average enrollment return karo.,SELECT avg(enrollment) FROM university WHERE founded  <  1850,SELECT AVG(Enrollment) FROM university WHERE Founded < 1850,True,CLEAN
university_basketball,hinglish_hindi_heavy,1850 se pehle found kiye gaye universities ka average enrollment return karein.,SELECT avg(enrollment) FROM university WHERE founded  <  1850,SELECT AVG(Enrollment) FROM university WHERE Founded < 1850,True,CLEAN
party_host,hinglish_light,How many hosts kisi nationality ke liye hain? List the nationality aur count,"SELECT Nationality ,  COUNT(*) FROM HOST GROUP BY Nationality","SELECT Nationality, COUNT(*) FROM host GROUP BY Nationality",True,CLEAN
party_host,hinglish_natural,Kisi nationality ke liye kitne hosts hain? List nationality aur count,"SELECT Nationality ,  COUNT(*) FROM HOST GROUP BY Nationality","SELECT Nationality, COUNT(*) FROM host GROUP BY Nationality",True,CLEAN
party_host,hinglish_hindi_heavy,Kisi nationality ke liye kitne hosts hain? List the nationality aur count,"SELECT Nationality ,  COUNT(*) FROM HOST GROUP BY Nationality","SELECT Nationality, COUNT(*) FROM host GROUP BY Nationality",True,CLEAN
driving_school,hinglish_light,"For each customer status code, kitne customers classified karein?","SELECT customer_status_code , count(*) FROM Customers GROUP BY customer_status_code;","SELECT COUNT(*) AS total_customers, customer_status_code FROM Customers GROUP BY customer_status_code",False,SUCCESS
driving_school,hinglish_natural,Kitne customers har customer status code par classified hain?,"SELECT customer_status_code , count(*) FROM Customers GROUP BY customer_status_code;",SELECT COUNT(*) FROM Customers WHERE customer_status_code = 'classified',False,SUCCESS
driving_school,hinglish_hindi_heavy,For each customer status code mei kitne customers classified hain?,"SELECT customer_status_code , count(*) FROM Customers GROUP BY customer_status_code;",SELECT COUNT(*) AS count FROM Customers WHERE customer_status_code = 'mei',False,SUCCESS
match_season,hinglish_light,What are the names aur capitals of har ek desh?,"SELECT Country_name ,  Capital FROM country","SELECT Country_name, Capital FROM country WHERE Country_name = 'Har Ek Desh'",False,SUCCESS
match_season,hinglish_natural,Kya har ek desh ka naam aur nagar pata chalein?,"SELECT Country_name ,  Capital FROM country","SELECT Country_name, Capital FROM country",True,CLEAN
match_season,hinglish_hindi_heavy,Kyun naa har ek desh ka naam aur nagar kahaani mein jaate hain?,"SELECT Country_name ,  Capital FROM country","SELECT Country_name, Capital FROM country",True,CLEAN
allergy_1,hinglish_light,What are the average ages of male aur female students?,"SELECT avg(age) ,  sex FROM Student GROUP BY sex",SELECT AVG(Age) FROM STUDENT WHERE Sex = 'M' OR Sex = 'F',False,SUCCESS
allergy_1,hinglish_natural,Male aur female students ki average ages kya hain?,"SELECT avg(age) ,  sex FROM Student GROUP BY sex",SELECT AVG(Age) FROM STUDENT WHERE Sex = 'M' OR Sex = 'F',False,SUCCESS
allergy_1,hinglish_hindi_heavy,Kyun ki male aur female students ki average ages kya hain?,"SELECT avg(age) ,  sex FROM Student GROUP BY sex","SELECT AVG(Age) FROM STUDENT WHERE Sex IN ('M', 'F')",False,SUCCESS
student_1,hinglish_light,Which teachers teach in classroom 110?,SELECT firstname FROM teachers WHERE classroom  =  110,"SELECT DISTINCT T2.FirstName, T2.LastName FROM list AS T1 INNER JOIN teachers AS T2 ON T1.Classroom = T2.Classroom WHERE T1.Classroom = 110",False,SUCCESS
student_1,hinglish_natural,Class 110 mein kis guruji ne shiksha kiya? Mujhe unki praanam yaad karao.,SELECT firstname FROM teachers WHERE classroom  =  110,"SELECT T2.FirstName, T2.LastName FROM teachers AS T1 INNER JOIN list AS T2 ON T1.Classroom = T2.Classroom WHERE T2.Grade = 110",False,SUCCESS
student_1,hinglish_hindi_heavy,Class 110 mein kisi guruj ko shikha rahi hai? Mujhe unki pehle naam chahiye.,SELECT firstname FROM teachers WHERE classroom  =  110,SELECT T2.FirstName FROM list AS T1 INNER JOIN teachers AS T2 ON T1.Classroom = T2.Classroom WHERE T1.Grade = 110,False,SUCCESS
dorm_1,hinglish_light,Find the name of amenities of the dorm where the student with last name Smith is living in.,SELECT T3.amenity_name FROM dorm AS T1 JOIN has_amenity AS T2 ON T1.dormid  =  T2.dormid JOIN dorm_amenity AS T3 ON T2.amenid  =  T3.amenid JOIN lives_in AS T4 ON T4.dormid  =  T1.dormid JOIN student AS T5 ON T5.stuid  =  T4.stuid WHERE T5.lname  =  'Smith,SELECT T2.amenity_name FROM lives_in AS T1 INNER JOIN dorm AS T2 ON T1.dormid = T2.dormid WHERE T1.stuid IN (SELECT StuID FROM STUDENT WHERE LName = 'Smith'),False,no such column: T2.amenity_name
dorm_1,hinglish_natural,Dorm mein last name Smith ka student ko pahunchne ke liye amenities ka naam pailo.,SELECT T3.amenity_name FROM dorm AS T1 JOIN has_amenity AS T2 ON T1.dormid  =  T2.dormid JOIN dorm_amenity AS T3 ON T2.amenid  =  T3.amenid JOIN lives_in AS T4 ON T4.dormid  =  T1.dormid JOIN student AS T5 ON T5.stuid  =  T4.stuid WHERE T5.lname  =  'Smith,SELECT T2.amenity_name FROM Student AS T1 INNER JOIN Lives_in AS T2 ON T1.StuID = T2.stuid WHERE T1.LName = 'Smith',False,no such column: T2.amenity_name
dorm_1,hinglish_hindi_heavy,Dorm mein last name Smith ka student ko pahunchne ke liye amenities ka naam pailo. Find the name of amenities of the dorm where the student with last name Smith is living in.,SELECT T3.amenity_name FROM dorm AS T1 JOIN has_amenity AS T2 ON T1.dormid  =  T2.dormid JOIN dorm_amenity AS T3 ON T2.amenid  =  T3.amenid JOIN lives_in AS T4 ON T4.dormid  =  T1.dormid JOIN student AS T5 ON T5.stuid  =  T4.stuid WHERE T5.lname  =  'Smith,SELECT T2.amenity_name FROM lives_in AS T1 INNER JOIN dorm AS T2 ON T1.dormid = T2.dormid WHERE T1.stuid IN (SELECT StuID FROM STUDENT WHERE LName = 'Smith') ORDER BY T2.amenity_name,False,no such column: T2.amenity_name
scientist_1,hinglish_light,"What are the names of projects ke jo 300 se zyada hours chahiye, aur unke pass kitne scientists hain?","SELECT count(*) ,  T1.name FROM projects AS T1 JOIN assignedto AS T2 ON T1.code  =  T2.project WHERE T1.hours  >  300 GROUP BY T1.name","SELECT T2.Name, COUNT(T1.Scientist) FROM Projects AS T1 INNER JOIN AssignedTo AS T2 ON T1.Code = T2.Project WHERE T1.Hours > 300 GROUP BY T2.Name",False,no such column: T2.Name
scientist_1,hinglish_natural,"Kya project names ho jo 300 hours ke zyada ka requirement hai, aur har project mein kitne scientists hain?","SELECT count(*) ,  T1.name FROM projects AS T1 JOIN assignedto AS T2 ON T1.code  =  T2.project WHERE T1.hours  >  300 GROUP BY T1.name","SELECT T2.Name, COUNT(T1.Scientist) FROM AssignedTo AS T1 JOIN Projects AS T2 ON T1.Project = T2.Code WHERE T2.Hours > 300 GROUP BY T2.Name",False,SUCCESS
scientist_1,hinglish_hindi_heavy,"Kyi project names kya hongi jo 300 hours ke zyada ka need karte hain, aur har ek mein kitne scientists assign huye hain?","SELECT count(*) ,  T1.name FROM projects AS T1 JOIN assignedto AS T2 ON T1.code  =  T2.project WHERE T1.hours  >  300 GROUP BY T1.name","SELECT T2.Name, COUNT(T1.Scientist)",False,no such column: T2.Name
allergy_1,hinglish_light,Show the student id of the oldest student.,SELECT StuID FROM Student WHERE age  =  (SELECT max(age) FROM Student),SELECT StuID FROM STUDENT ORDER BY Age DESC LIMIT 1,True,CLEAN
allergy_1,hinglish_natural,Show the student id of the oldest student.,SELECT StuID FROM Student WHERE age  =  (SELECT max(age) FROM Student),SELECT StuID FROM STUDENT ORDER BY Age DESC LIMIT 1,True,CLEAN
allergy_1,hinglish_hindi_heavy,Show the student id of the oldest student.,SELECT StuID FROM Student WHERE age  =  (SELECT max(age) FROM Student),SELECT StuID FROM STUDENT ORDER BY Age DESC LIMIT 1,True,CLEAN
wrestler,hinglish_light,Show the times of elimination by Punk yaar ki ya Orton ki,"SELECT TIME FROM elimination WHERE Eliminated_By  =  ""Punk"" OR Eliminated_By  =  ""Orton",SELECT Time FROM Elimination WHERE Wrestler_ID IN (SELECT Wrestler_ID FROM wrestler WHERE Name = 'Punk yaar ki' OR Name = 'Orton ki'),False,SUCCESS
wrestler,hinglish_natural,Punk ya Orton ne times of elimination dekhiye,"SELECT TIME FROM elimination WHERE Eliminated_By  =  ""Punk"" OR Eliminated_By  =  ""Orton",SELECT COUNT(*) FROM Elimination WHERE Eliminated_By = 'Punk Ya Orton',False,SUCCESS
wrestler,hinglish_hindi_heavy,show times of elimination by Punk yaar ki ya Orton ki,"SELECT TIME FROM elimination WHERE Eliminated_By  =  ""Punk"" OR Eliminated_By  =  ""Orton",SELECT Time FROM Elimination WHERE Wrestler_ID IN (SELECT Wrestler_ID FROM wrestler WHERE Name = 'Punk Yaar' OR Name = 'Orton'),False,SUCCESS
college_2,hinglish_light,What is the name of the department with the most credits?,SELECT dept_name FROM course GROUP BY dept_name ORDER BY sum(credits) DESC LIMIT 1,SELECT dept_name FROM course GROUP BY dept_name ORDER BY SUM(credits) DESC LIMIT 1,True,CLEAN
college_2,hinglish_natural,Kya woh department ka naam hai jo sabse zyada credits deti hai?,SELECT dept_name FROM course GROUP BY dept_name ORDER BY sum(credits) DESC LIMIT 1,SELECT dept_name FROM course GROUP BY dept_name ORDER BY SUM(credits) DESC LIMIT 1,True,CLEAN
college_2,hinglish_hindi_heavy,Kyaa woh department ka naam hai jo sabse zyada credits deta hai?,SELECT dept_name FROM course GROUP BY dept_name ORDER BY sum(credits) DESC LIMIT 1,SELECT dept_name FROM course ORDER BY credits DESC LIMIT 1,False,SUCCESS
