db_id,english,hinglish_light,hinglish_natural,hinglish_hindi_heavy,sql
match_season,"Show the positions of the players from the team with name ""Ryley Goldner"".",Show the positions of the players from the team with name 'Ryley Goldner'.,Ryley Goldner ke team ka players ki positions dikhao.,Show the positions of the players from the team with name 'Ryley Goldner'.,"SELECT T1.Position FROM match_season AS T1 JOIN team AS T2 ON T1.Team  =  T2.Team_id WHERE T2.Name  =  ""Ryley Goldner"
student_transcripts_tracking,What is the description of the department whose name has the substring the computer?,What is the description of the department jo naam mein 'the computer' ka substring hai?,Jo department ki description kya hai jo naam mein 'the computer' ka substring hai?,Kya pata kya hai department ki description jo naam mein 'the computer' ka substring hai?,SELECT department_description FROM Departments WHERE department_name LIKE '%computer%
game_1,Show all sport name and the number of students.,Show all sport name aur student ka number.,Show sport name or sports ka naam aur student ki count.,Show sport name or sports ke naam aur student ka number.,"SELECT sportname ,  count(*) FROM Sportsinfo GROUP BY sportname"
world_1,What are the countries that have greater surface area than any country in Europe?,What are the countries ki area Europe ke any country se zyada hoti hai?,Kya Europe mein kaun kaun si desh hain jo kitni bhi area ka hota hai?,Kyun ki Europe mein kisikis desh ka area kitna bhi zyada hota hai woh kya hain?,"SELECT Name FROM country WHERE SurfaceArea  >  (SELECT min(SurfaceArea) FROM country WHERE Continent  =  ""Europe"")"
cre_Theme_park,"For each tourist attraction, return its name and the date when the tourists named Vincent or Vivian visited there.","For each tourist attraction, uska naam return karo aur tourists jo Vincent ya Vivian ka naam hain, unhein unke aane ka tareeke se date return karo.","Le aao har tourist attraction ke liye uski nām return karo aur tourists jo Vincent ya Vivian ka naam hain, unhein unke aane ka tareeke se date return karo.","For each tourist attraction, uska naam return karo aur tourists jo Vincent ya Vivian ka naam hain, unhein unke","SELECT T1.Name ,  T3.Visit_Date FROM Tourist_Attractions AS T1 JOIN VISITORS AS T2 JOIN VISITS AS T3 ON T1.Tourist_Attraction_ID  =  T3.Tourist_Attraction_ID AND T2.Tourist_ID  =  T3.Tourist_ID WHERE T2.Tourist_Details  =  ""Vincent"" OR T2.Tourist_Details  =  ""Vivian"
ship_1,Return the names and classes of ships that do not have a captain?,Return the names aur classes of ships jo puraana captain nahi hain?,Return names aur classes of ships jo mein captain nahi hai?,Return the names aur classes of ships jo dono mein captain nahi hain?,"SELECT name ,  CLASS FROM ship WHERE ship_id NOT IN (SELECT ship_id FROM captain)"
customers_and_addresses,"Which customer's name contains ""Alex""? Find the full name.",Which customer ka name Alex mein hai? Find the full name.,Alex ki which customer ka full name dikhao. Find the full name.,Alex ki which customer ka name kya hai? Jo full name dikhaye.,"SELECT customer_name FROM customers WHERE customer_name LIKE ""%Alex%"
cre_Drama_Workshop_Groups,What is the product ID of the most frequently ordered item on invoices?,What is the product ID of the most frequently ordered item on invoices?,"Invoice mein kaun kaun se item jo sabse zyada command hain, unke product ID kya hai?","Invoice mein kaun kaun se item jo sabse zyada command hain, unki product ID kya hai?",SELECT Product_ID FROM INVOICES GROUP BY Product_ID ORDER BY COUNT(*) DESC LIMIT 1
products_gen_characteristics,List the all the distinct names of the products with the characteristic name 'warm'.,List the all the distinct names of the products with the characteristic name 'warm'.,Warm ke liye sabhi vicharut distinct product names de.,"Warm ke liye sabka list de, products ka naam distinct hona chahiye.","SELECT DISTINCT t1.product_name FROM products AS t1 JOIN product_characteristics AS t2 ON t1.product_id  =  t2.product_id JOIN CHARACTERISTICS AS t3 ON t2.characteristic_id  =  t3.characteristic_id WHERE t3.characteristic_name  =  ""warm"
insurance_fnol,"Count the total number of policies used by the customer named ""Dayana Robel"".",Count the total number of policies used by the customer named Dayana Robel,Dayana Robel ke liye use kiye gaye total number of policies ko count karo,Dayana Robel ke liye use kiye gaye total number of policies ko count karein,"SELECT count(*) FROM customers AS t1 JOIN customers_policies AS t2 ON t1.customer_id  =  t2.customer_id WHERE t1.customer_name  =  ""Dayana Robel"
student_1,Find the number of students in one classroom.,Find the number of students in one classroom.,Ek classroom mein students ka count karo.,Ek classroom mein students ka count karna.,"SELECT count(*) ,  classroom FROM list GROUP BY classroom"
epinions_1,Find the number of items without any review.,Find the number of items without any review.,Find items which don't have any review.,Find the number of items jaise koi review nahi hai.,SELECT count(*) FROM item WHERE i_id NOT IN (SELECT i_id FROM review)
film_rank,Return the title of the film with the highest high estimate?,Return the title of the film with the highest high estimate?,"Filmi ka title jiska sahi hisaab mein aur vyaktiyanche anupat hain, to kya?",Rakho filmbancho ka juda hai jo aur vishesh teshniyaanche sahi hain?,SELECT t1.title FROM film AS T1 JOIN film_market_estimation AS T2  ON T1.Film_ID  =  T2.Film_ID ORDER BY high_estimate DESC LIMIT 1
sports_competition,what are the name of players who get more than the average points.,what are the names of players jo more se bahut point lenge,kya players hain jo more se average point lenge,kyunki kyunki kyunki kyunki kyunki kyunki kyunki players hain jo more se average points lenge,SELECT name FROM player WHERE points  >  (SELECT avg(points) FROM player)
inn_1,Return the name and number of reservations made for each of the rooms.,Return the name aur number of reservations ki hui thi sabhi rms ke liye.,Return name aur number of reservations made for each rm.,Return the name aur number of reservations ki hui thi sabhi rms ke liye.,"SELECT T2.roomName ,  count(*) ,  T1.Room FROM Reservations AS T1 JOIN Rooms AS T2 ON T1.Room  =  T2.RoomId GROUP BY T1.Room"
network_1,Show the names of high school students and their corresponding number of friends.,Show the names of high school students aur their corresponding number of friends.,Show the names of high school students aur vo correspond kiya gayi friends ka number bhi.,Show the names of high school students aur their corresponding number of friends.,"SELECT T2.name ,  count(*) FROM Friend AS T1 JOIN Highschooler AS T2 ON T1.student_id  =  T2.id GROUP BY T1.student_id"
dog_kennels,Which owner has paid for the most treatments on his or her dogs? List the owner id and last name.,Which owner ko treatment mein theek karta hai aur dogon ke liye bill pay karwaata hai? Owner id aur last name dalo,"Jiska dogon ke liye theek karna aur bill pay karne ka account theek karta hai, woh owner ki id aur last name dalo","Jiska dogon ke theek karna aur bill pay karne ka account theek karta hai, vo owner ki id aur last name dalo","SELECT T1.owner_id ,  T1.last_name FROM Owners AS T1 JOIN Dogs AS T2 ON T1.owner_id  =  T2.owner_id JOIN Treatments AS T3 ON T2.dog_id  =  T3.dog_id GROUP BY T1.owner_id ORDER BY count(*) DESC LIMIT 1"
club_1,"What is the location of the club named ""Tennis Club""?",What is the lochaniya of the club named Tennis Club?,Tennis Club ka club kahan hai?,Tennis Club ka clb kahan h?,"SELECT clublocation FROM club WHERE clubname  =  ""Tennis Club"
music_4,"What are the famous titles of the artist ""Triumfall""?",What are the famous titles of the artist Triumfall?,Triumfall ka kya famous title hain?,Triumfall ka kya famous title hai?,"SELECT Famous_Title FROM artist WHERE Artist  =  ""Triumfall"
cre_Doc_Control_Systems,What is the role of the employee named Koby?,What is the role of the employee named Koby?,Employee ke naam Koby ki kya roli hai?,Koby ka employee kya roli hai?,"SELECT T1.role_description FROM ROLES AS T1 JOIN Employees AS T2 ON T1.role_code = T2.role_code WHERE T2.employee_name = ""Koby"";"
game_1,How many different types of sports do we offer?,How many different types of sports do we offer?,Kya humare pass kitne different types of sports hain jo offer karte hain?,"Kyun ki hum different types of sports offer karte hain, jaise kitne hain?",SELECT count(DISTINCT sportname) FROM Sportsinfo
workshop_paper,Which authors have submitted to more than one workshop?,Which authors have submitted to more than one workshop?,Jismein kya authorein ek se jyada workshop mein submit kiye hain?,kis tara ka auther jo dusre workshop mein bhi submit kiya hai?,SELECT T2.Author FROM acceptance AS T1 JOIN submission AS T2 ON T1.Submission_ID  =  T2.Submission_ID GROUP BY T2.Author HAVING COUNT(DISTINCT T1.workshop_id)  >  1
wta_1,How many distinct countries do players come from?,How many distinct countries do players come from?,Players from kittein kya bari dharti ke?,Kittein kitne bari dharti ke aate hain?,SELECT count(DISTINCT country_code) FROM players
roller_coaster,What is the average speed of roller coasters?,What is the average speed of roller coasters?,Roller coasters ka average speed kya hai?,Kya hai roller coaster ki average speed?,SELECT avg(Speed) FROM roller_coaster
chinook_1,What are the invoice dates for customers with the first name Astrid and the last name Gruber?,What are invoice dates for customers first name Astrid and last name Gruber?,Invoice dates kya hain jo customers ke first name Astrid aur last name Gruber hai?,kya invoice dates hain jo customers ki first name Astrid aur last name Gruber hai?,"SELECT T2.InvoiceDate FROM CUSTOMER AS T1 JOIN INVOICE AS T2 ON T1.CustomerId  =  T2.CustomerId WHERE T1.FirstName  =  ""Astrid"" AND LastName  =  ""Gruber"
restaurant_1,Which restaurants have highest rating? List the restaurant name and its rating.,Which restaurants ka rating jyada hain?,Jiske restaurant names aur ratings de do.,"Jiske restaurant names aur ratings de do, jo kaam se jyada rating mil rahe hain.","SELECT ResName , Rating FROM Restaurant ORDER BY Rating DESC LIMIT 1;"
pets_1,What is the id and weight of every pet who is older than 1?,What is the id aur weight of every pet jo 1 se bda h?,"Kya har pet jo 1 se bda h, uski id aur weight kya h?","Kya id aur weight of har pet jo 1 se bda h, iska?","SELECT petid ,  weight FROM pets WHERE pet_age  >  1"
hospital_1,Which patients made more than one appointment? Tell me the name and phone number of these patients.,Which patients doob mein do baar appointment lene ka hai? Yeh patients ki naam aur phone number kya hain?,Doob mein do baar appointment lene ka patients kahaenge? Yeh patients ki naam aur phone number kya hain?,Doob mein do baar appointment lene ka patients kahaenge? Yeh patients ki naam aur phone number kya hain?,"SELECT name ,  phone FROM appointment AS T1 JOIN patient AS T2 ON T1.patient  =  T2.ssn GROUP BY T1.patient HAVING count(*)  >  1"
music_1,"What is the name and country of origin of the artist who released a song that has ""love"" in its title?",What is the name aur country se aayi artist jin ne 'love' ki tarah ka song release ki thi?,Kya aapne 'love' ki tarah ka song release ki thi wali artist ka naam aur unhein kis des se mila hai?,Kyaa aapki song 'love' ki tarah ka thi jin ne uska naam aur des ka naam kyaa diya tha?,"SELECT T1.artist_name ,  T1.country FROM artist AS T1 JOIN song AS T2 ON T1.artist_name  =  T2.artist_name WHERE T2.song_name LIKE ""%love%"
student_transcripts_tracking,what are all the addresses including line 1 and line 2?,what are sab addresses line 1 aur line 2 mein bhi?,kya har address line 1 aur line 2 par hai?,kya sab addresses line 1 aur line 2 mein bhi include hain?,"SELECT line_1 ,  line_2 FROM addresses"
cinema,"Show the average, minimum, and maximum capacity for all the cinemas opened in year 2011 or later.","Show the average, minimum, aur maximum capacity for all the cinemas open ki 2011 se phle ya fir","2011 se phle ya fir, average, minimum, aur maximum capacity dekhiye jo 2011 se phle ya fir","2011 se phle ya fir, average, minimum, aur maximum capacity dekhiye jinhe 2011 se phle ya fir open hui the.","SELECT avg(capacity) ,  min(capacity) ,  max(capacity) FROM cinema WHERE openning_year  >=  2011"
cre_Drama_Workshop_Groups,Return the name of the marketing region the store Rob Dinning is located in.,Return the name of the marketing region jo store Rob Dinning pe raho hai.,Return name of marketing region jo store Rob Dinning pe raha hai.,Return name of the marketing region jo store Rob Dinning pe raho hai.,"SELECT T1.Marketing_Region_Name FROM Marketing_Regions AS T1 JOIN Stores AS T2 ON T1.Marketing_Region_Code  =  T2.Marketing_Region_Code WHERE T2.Store_Name  =  ""Rob Dinning"
